Col1,Col2,Actual,Predicted
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
42,41,S1,S1
34,34,S1,S1
43,39,S2,S1
37,34,S2,S1
104,109,S3,S1
104,109,S3,S1
114,118,S4,S1
119,124,S4,S1
126,127,S5,S1
124,125,S5,S1
154,155,S6,S1
157,154,S6,S1
49,48,S7,S1
66,68,S7,S1
116,116,S8,S1
117,115,S8,S1
110,112,S9,S1
111,111,S9,S1
136,136,S10,S1
133,129,S10,S1
50,46,S11,S1
48,44,S11,S1
100,105,S12,S1
105,104,S12,S1
110,106,S13,S1
105,110,S13,S1
41,42,S14,S1
43,46,S14,S1
120,119,S15,S1
119,121,S15,S1
63,54,S16,S1
59,60,S16,S1
45,52,S17,S1
49,45,S17,S1
119,118,S18,S1
122,119,S18,S1
46,48,S19,S1
42,47,S19,S1
109,107,S20,S1
109,111,S20,S1
108,105,S21,S1
105,104,S21,S1
55,56,S22,S1
58,57,S22,S1
124,126,S23,S1
128,123,S23,S1
35,36,S24,S1
34,38,S24,S1
122,124,S25,S1
120,122,S25,S1
112,109,S26,S1
109,111,S26,S1
42,44,S27,S1
40,40,S27,S1
48,50,S28,S1
124,121,S28,S1
98,103,S29,S1
99,102,S29,S1
108,108,S30,S1
109,107,S30,S1
98,98,S31,S1
29,39,S31,S1
33,39,S32,S1
32,37,S32,S1
54,49,S33,S1
91,96,S33,S1
23,24,S34,S1
25,17,S34,S1
67,62,S35,S1
92,86,S35,S1
45,45,S36,S1
47,42,S36,S1
121,121,S37,S1
116,123,S37,S1
108,112,S38,S1
108,105,S38,S1
86,90,S39,S1
89,87,S39,S1
119,120,S40,S1
125,124,S40,S1
